dim,train_mse,test_mse
50,0.579068124294281,0.6931716799736023
150,0.399448037147522,0.6251474618911743
250,0.30669217705726626,0.6155899643898011
350,0.2455488473176956,0.6480228781700135
450,0.20636992156505585,0.6734856724739074
550,0.17367601692676543,0.675488007068634
650,0.14979896545410157,0.6821770787239074
750,0.12218356728553773,0.715626883506775
800,0.11216938048601151,0.7126362562179566
850,0.10317577421665192,0.7245239853858948
900,0.09799252301454545,0.7191338062286377
950,0.08929900825023651,0.723601472377777
1000,0.08565189689397812,0.7121690034866333
1050,0.0792770266532898,0.7149028182029724
1100,0.07368531823158264,0.7134130835533142
1150,0.06653081029653549,0.7238797426223755
1200,0.06725355684757232,0.6988363981246948
1250,0.06043008640408516,0.7167230486869812
1300,0.057098635286092755,0.7162046670913697
1350,0.0525551900267601,0.7231871843338012
1400,0.05011483952403069,0.7135754942893981
1450,0.04979227930307388,0.6909420013427734
1500,0.0453836165368557,0.6987126111984253
2000,0.027587804198265075,0.687635350227356
2500,0.018375363573431967,0.6788872599601745
3000,0.012625471502542496,0.6587921500205993
3500,0.009128404222428799,0.6427491664886474
4000,0.007035035826265812,0.6270437002182007
4500,0.005869470816105604,0.6156999945640564
5000,0.0047437038738280535,0.6012663245201111
5500,0.004142274614423513,0.5859488368034362
