num_features,train_mse,test_mse
50,0.12036316841840744,0.12892639636993408
75,0.08445101976394653,0.09442858397960663
100,0.060208603739738464,0.08093583583831787
125,0.04968909174203873,0.07008711993694305
150,0.03961862996220589,0.04957415908575058
175,0.03223402053117752,0.05619153380393982
200,0.02420203946530819,0.05113273113965988
225,0.023933563381433487,0.052073217928409576
250,0.019234806299209595,0.048605453222990036
275,0.017110558226704597,0.04019183665513992
300,0.015737896785140038,0.04629335552453995
310,0.016075560823082924,0.04354957491159439
320,0.015568241477012634,0.05025056004524231
330,0.013023994863033295,0.04863782972097397
340,0.013073466718196869,0.046507783234119415
350,0.013294199481606483,0.04277162253856659
360,0.012770259752869606,0.049425795674324036
370,0.012046586722135544,0.048280756920576096
380,0.01060778833925724,0.05031575262546539
390,0.010972068645060062,0.044540900737047195
400,0.011217762716114521,0.04958494380116463
410,0.011378774419426918,0.053265467286109924
420,0.009772197343409061,0.04871760308742523
430,0.008349766954779625,0.050868626683950424
440,0.008185098879039288,0.047875504940748215
450,0.008298564702272415,0.04920407012104988
460,0.00833708792924881,0.04463490471243858
470,0.007543214596807957,0.047464873641729355
480,0.007228355389088392,0.05841272696852684
490,0.005761320237070322,0.041669320315122604
500,0.006312667857855558,0.05309569835662842
510,0.006287204567342997,0.05832025408744812
520,0.006119564175605774,0.04915006831288338
530,0.005801434628665447,0.04970863088965416
540,0.005628824699670076,0.05328821390867233
550,0.0050445739179849625,0.056485213339328766
560,0.004727184306830168,0.057900235056877136
570,0.004360958468168974,0.04824020341038704
580,0.0037971169222146273,0.05137799307703972
590,0.0036348553840070963,0.06385884433984756
600,0.0037917220033705235,0.06309270113706589
610,0.003550934372469783,0.0675596371293068
620,0.004254112020134926,0.06472133845090866
630,0.0031374008394777775,0.059732191264629364
640,0.0034558719489723444,0.06820955127477646
650,0.003303679171949625,0.0651857927441597
660,0.002479775110259652,0.06498032063245773
670,0.002462449250742793,0.06571406871080399
680,0.0021597780287265778,0.06641606241464615
690,0.00213398109190166,0.06182553246617317
700,0.0019395347917452455,0.07000516355037689
710,0.0019641579128801823,0.07237032055854797
720,0.0018256678013131022,0.05529709532856941
730,0.0013962073717266321,0.07068299502134323
740,0.001873093657195568,0.06928977370262146
750,0.0014979534316807985,0.07685859501361847
760,0.0013816134305670857,0.08928324282169342
770,0.0016013311687856913,0.07145968079566956
780,0.0012258763890713453,0.09590010344982147
790,0.0011809432180598378,0.07506117224693298
800,0.00107516348361969,0.08716613054275513
850,0.0005861679674126208,0.12026738375425339
900,0.0003831850190181285,0.13266530632972717
950,0.00013298098929226398,0.2412976175546646
1000,3.521045437082648e-05,0.7718178629875183
1050,3.0602506639887395e-11,0.18978925049304962
1100,3.1479718137772394e-11,0.10425938665866852
1150,7.370001310624819e-12,0.08531706035137177
1200,9.429651504078151e-12,0.060154080390930176
1250,1.1512007493108545e-11,0.05559820309281349
1300,4.661721529630736e-12,0.044005271047353745
1350,4.411415243515959e-12,0.04091561585664749
1400,8.932641085146464e-12,0.03520030528306961
1450,3.753562998615179e-12,0.03214766085147858
1500,5.468283811871366e-12,0.03165639191865921
1750,3.7022650570261995e-12,0.022224603220820427
2000,3.4056988999775495e-12,0.02102058380842209
2250,1.4331149114643615e-12,0.018609385937452316
2500,1.7192505015126147e-12,0.016265474259853363
2750,2.5602347932668357e-12,0.015203063376247883
